date,temp,rh,wind_speed,wind_dir,cloud_cover_low,cloud_cover_mid,cloud_cover_high
2025-03-01 00:00:00,2.5,100,6.6,349,60,0,0
2025-03-01 01:00:00,2.1,100,5.4,354,100,0,0
2025-03-01 02:00:00,1.5,100,4.5,360,100,0,0
2025-03-01 03:00:00,0.7,99,5.0,2,77,0,0
2025-03-01 04:00:00,0.7,100,5.1,354,99,0,0
2025-03-01 05:00:00,0.5,100,4.7,360,100,0,0
2025-03-01 06:00:00,0.2,100,4.3,5,100,0,0
2025-03-01 07:00:00,0.2,100,4.2,355,100,0,0
2025-03-01 08:00:00,1.0,100,4.3,332,100,0,0
2025-03-01 09:00:00,1.7,99,6.3,336,100,0,0
2025-03-01 10:00:00,2.8,97,6.2,348,100,0,0
2025-03-01 11:00:00,4.0,87,10.9,27,100,0,0
2025-03-01 12:00:00,4.5,85,10.9,34,100,0,0
2025-03-01 13:00:00,5.8,75,11.0,38,100,0,0
2025-03-01 14:00:00,6.5,71,10.4,42,86,0,0
2025-03-01 15:00:00,7.3,66,9.4,50,95,0,0
2025-03-01 16:00:00,7.4,65,8.9,58,97,0,0
2025-03-01 17:00:00,7.5,65,8.5,69,56,0,0
2025-03-01 18:00:00,7.1,67,6.7,81,4,0,0
2025-03-01 19:00:00,5.5,81,3.5,78,6,0,0
2025-03-01 20:00:00,4.3,84,1.9,68,11,0,1
2025-03-01 21:00:00,3.6,88,2.5,60,0,0,27
2025-03-01 22:00:00,2.9,93,4.8,22,5,0,0
2025-03-01 23:00:00,2.5,94,6.0,17,31,0,14
2025-03-02 00:00:00,1.9,95,4.0,90,0,0,88
2025-03-02 01:00:00,1.5,96,1.3,82,0,0,84
2025-03-02 02:00:00,1.2,99,1.1,180,0,0,100
2025-03-02 03:00:00,0.2,96,1.0,239,0,0,100
2025-03-02 04:00:00,0.1,98,1.3,315,4,0,100
2025-03-02 05:00:00,0.1,99,0.6,288,9,0,6
2025-03-02 06:00:00,-0.2,100,1.0,225,96,0,0
2025-03-02 07:00:00,-0.5,100,1.3,262,98,0,0
2025-03-02 08:00:00,-1.3,100,2.4,257,99,0,0
