date,temp,rh,wind_speed,wind_dir,cloud_cover_low,cloud_cover_mid,cloud_cover_high
2025-03-01 00:00:00,17.5,87,9.8,70,2,51,52
2025-03-01 01:00:00,16.9,87,9.0,70,0,19,0
2025-03-01 02:00:00,16.4,89,9.1,98,0,24,10
2025-03-01 03:00:00,16.0,90,8.5,58,0,53,1
2025-03-01 04:00:00,15.8,90,9.0,95,0,66,0
2025-03-01 05:00:00,15.6,89,10.6,87,0,18,100
2025-03-01 06:00:00,16.9,93,14.3,107,2,18,37
2025-03-01 07:00:00,16.7,91,15.8,98,2,21,76
2025-03-01 08:00:00,17.5,90,11.5,100,1,46,88
2025-03-01 09:00:00,18.6,83,8.4,105,0,88,98
2025-03-01 10:00:00,19.6,79,8.5,118,0,42,98
2025-03-01 11:00:00,21.2,75,3.7,113,0,37,21
2025-03-01 12:00:00,22.7,71,3.3,81,0,30,68
2025-03-01 13:00:00,23.8,67,4.4,71,0,17,49
2025-03-01 14:00:00,24.1,65,3.7,47,11,24,95
2025-03-01 15:00:00,24.2,66,3.0,38,21,27,21
2025-03-01 16:00:00,23.4,67,2.9,11,48,16,5
2025-03-01 17:00:00,22.7,70,3.4,43,0,7,1
2025-03-01 18:00:00,22.0,77,4.7,28,0,15,3
2025-03-01 19:00:00,21.1,81,5.2,25,0,10,4
2025-03-01 20:00:00,20.4,83,5.1,17,1,6,28
2025-03-01 21:00:00,20.1,84,7.6,353,1,3,0
2025-03-01 22:00:00,19.3,85,9.0,10,0,0,0
2025-03-01 23:00:00,18.5,86,7.8,15,0,0,0
2025-03-02 00:00:00,17.8,88,6.1,14,0,0,0
2025-03-02 01:00:00,17.3,89,5.3,12,0,0,0
2025-03-02 02:00:00,16.9,89,5.5,11,0,0,0
2025-03-02 03:00:00,16.6,88,6.8,360,0,0,0
2025-03-02 04:00:00,16.1,88,6.6,344,0,0,0
2025-03-02 05:00:00,15.5,89,5.6,331,0,0,0
2025-03-02 06:00:00,16.1,88,6.3,333,0,0,0
2025-03-02 07:00:00,16.2,87,6.5,316,0,0,0
2025-03-02 08:00:00,17.6,82,5.5,302,0,0,0
2025-03-02 09:00:00,19.4,74,6.2,306,0,0,0
2025-03-02 10:00:00,21.4,63,6.3,307,0,0,0
2025-03-02 11:00:00,23.4,44,8.7,317,0,0,0
2025-03-02 12:00:00,24.3,37,11.2,318,0,0,0
2025-03-02 13:00:00,24.7,35,12.5,314,0,0,0
2025-03-02 14:00:00,24.6,35,13.2,309,0,0,0
2025-03-02 15:00:00,24.1,37,12.7,310,0,0,0
2025-03-02 16:00:00,23.3,41,11.0,311,0,0,0
2025-03-02 17:00:00,22.0,48,7.9,305,0,0,0
2025-03-02 18:00:00,19.7,59,6.2,287,0,0,0
2025-03-02 19:00:00,18.4,65,5.9,288,0,0,0
2025-03-02 20:00:00,17.2,71,5.5,302,0,0,0
2025-03-02 21:00:00,16.5,73,5.4,310,0,0,0
2025-03-02 22:00:00,16.0,72,5.4,307,0,0,0
2025-03-02 23:00:00,15.6,69,5.9,310,0,0,0
2025-03-03 00:00:00,15.0,69,5.9,317,0,0,0
2025-03-03 01:00:00,14.4,70,5.5,337,0,0,0
2025-03-03 02:00:00,13.7,73,6.0,353,0,0,0
2025-03-03 03:00:00,13.4,73,6.1,355,0,0,0
2025-03-03 04:00:00,13.1,74,4.3,355,0,0,0
2025-03-03 05:00:00,12.9,75,4.0,3,0,0,0
2025-03-03 06:00:00,13.2,77,4.6,9,0,0,0
2025-03-03 07:00:00,13.9,78,4.1,360,0,0,0
2025-03-03 08:00:00,16.5,69,2.4,42,0,0,0
2025-03-03 09:00:00,19.5,60,0.9,127,0,0,0
2025-03-03 10:00:00,22.2,44,2.0,117,0,0,0
2025-03-03 11:00:00,24.3,34,2.7,127,0,0,0
2025-03-03 12:00:00,25.8,31,3.4,174,0,0,0
2025-03-03 13:00:00,26.7,34,5.4,195,0,2,0
2025-03-03 14:00:00,27.0,37,7.1,196,0,29,0
2025-03-03 15:00:00,26.4,40,7.6,198,0,19,0
2025-03-03 16:00:00,25.7,45,7.4,158,0,11,0
2025-03-03 17:00:00,24.4,54,5.9,130,0,14,0
2025-03-03 18:00:00,23.3,57,7.7,152,0,11,0
2025-03-03 19:00:00,22.3,60,7.3,130,0,8,0
2025-03-03 20:00:00,21.6,64,6.9,120,0,52,0
2025-03-03 21:00:00,21.4,63,7.8,122,0,40,0
2025-03-03 22:00:00,20.5,67,6.2,116,0,17,0
2025-03-03 23:00:00,19.8,69,5.7,143,0,9,0
2025-03-04 00:00:00,19.1,71,5.8,164,0,0,0
2025-03-04 01:00:00,18.7,72,6.5,193,0,1,0
2025-03-04 02:00:00,18.4,72,8.7,288,0,1,0
2025-03-04 03:00:00,17.2,78,4.9,262,0,1,0
2025-03-04 04:00:00,16.0,83,4.0,260,0,0,0
2025-03-04 05:00:00,15.7,83,6.1,273,0,0,0
2025-03-04 06:00:00,16.6,82,7.1,263,0,0,0
2025-03-04 07:00:00,17.0,80,9.5,268,0,0,0
2025-03-04 08:00:00,18.3,76,9.9,273,0,0,0
2025-03-04 09:00:00,19.9,67,10.9,276,0,0,0
2025-03-04 10:00:00,21.6,57,11.1,277,0,0,0
2025-03-04 11:00:00,23.0,53,10.6,288,0,0,0
2025-03-04 12:00:00,24.1,47,11.3,306,19,42,0
2025-03-04 13:00:00,24.5,42,12.3,307,8,39,0
2025-03-04 14:00:00,24.5,40,13.9,301,5,50,0
2025-03-04 15:00:00,24.5,41,14.4,299,1,21,0
2025-03-04 16:00:00,23.9,41,14.9,300,1,18,0
2025-03-04 17:00:00,22.6,45,17.0,309,8,19,0
2025-03-04 18:00:00,21.1,51,15.4,315,0,0,0
2025-03-04 19:00:00,20.2,52,13.1,307,0,0,0
2025-03-04 20:00:00,19.3,50,14.2,309,0,0,0
2025-03-04 21:00:00,18.2,52,13.5,308,0,0,0
